Retailer;Transaction ID;Invoice Date;Region;State;City;Product;Product ID; Price per Unit ;Units Sold;Total Sales;Operating Profit;Operating Margin;Sales Method
Foot Locker;IT0001;01/01/2020;Northeast;New York;New York;Men's Street Footwear;MSF33; $34,00 ;384;13056;6789,12;0,52;Outlet
Foot Locker;IT0002;01/01/2020;Northeast;New York;New York;Men's Street Footwear;MSF52; $47,00 ;336;15792;9633,12;0,61;Online
Foot Locker;IT0003;01/01/2020;Northeast;New York;New York;Men's Street Footwear;MSF56; $50,00 ;1200;600000;300000;0,5;In-store
Foot Locker;IT0004;01/01/2020;Northeast;Pennsylvania;Philadelphia;Women's Apparel;WA58; $53,00 ;83;4399;1407,68;0,32;Outlet
Foot Locker;IT0005;01/01/2020;Northeast;Pennsylvania;Philadelphia;Women's Apparel;WA80; $68,00 ;83;5644;2426,92;0,43;Online
Foot Locker;IT0006;01/01/2020;Northeast;Pennsylvania;Philadelphia;Women's Apparel;WA87; $75,00 ;275;206250;61875;0,3;Outlet
West Gear;IT0007;02/01/2020;Northeast;Pennsylvania;Philadelphia;Men's Street Footwear;MSF23; $27,00 ;158;4266;1791,72;0,42;Outlet
West Gear;IT0008;02/01/2020;Northeast;Pennsylvania;Philadelphia;Men's Street Footwear;MSF31; $32,00 ;122;3904;1991,04;0,51;Online
West Gear;IT0009;02/01/2020;Northeast;Pennsylvania;Philadelphia;Men's Street Footwear;MSF35; $35,00 ;450;157500;63000;0,4;Outlet
Foot Locker;IT0010;02/01/2020;Northeast;New York;New York;Men's Athletic Footwear;MAF33; $36,00 ;320;11520;4032;0,35;Outlet
Foot Locker;IT0011;02/01/2020;Northeast;New York;New York;Men's Athletic Footwear;MAF48; $47,00 ;260;12220;5132,4;0,42;Online
Foot Locker;IT0012;02/01/2020;Northeast;New York;New York;Men's Athletic Footwear;MAF52; $50,00 ;1000;500000;150000;0,3;In-store
West Gear;IT0013;03/01/2020;Northeast;Pennsylvania;Philadelphia;Men's Athletic Footwear;MAF31; $35,00 ;135;4725;1464,75;0,31;Outlet
West Gear;IT0014;03/01/2020;Northeast;Pennsylvania;Philadelphia;Men's Athletic Footwear;MAF43; $44,00 ;117;5148;1904,76;0,37;Online
West Gear;IT0015;03/01/2020;Northeast;Pennsylvania;Philadelphia;Men's Athletic Footwear;MAF44; $45,00 ;450;202500;50625;0,25;Outlet
Foot Locker;IT0016;03/01/2020;Northeast;New York;New York;Women's Street Footwear;WSF42; $32,00 ;350;11200;4144;0,37;Outlet
Foot Locker;IT0017;03/01/2020;Northeast;New York;New York;Women's Street Footwear;WSF48; $36,00 ;250;9000;4140;0,46;Online
Foot Locker;IT0018;03/01/2020;Northeast;New York;New York;Women's Street Footwear;WSF52; $40,00 ;1000;400000;140000;0,35;In-store
West Gear;IT0019;04/01/2020;Northeast;Pennsylvania;Philadelphia;Women's Street Footwear;WSF48; $36,00 ;140;5040;2368,8;0,47;Outlet
West Gear;IT0020;04/01/2020;Northeast;Pennsylvania;Philadelphia;Women's Street Footwear;WSF55; $41,00 ;117;4797;2590,38;0,54;Online
West Gear;IT0021;04/01/2020;Northeast;Pennsylvania;Philadelphia;Women's Street Footwear;WSF59; $45,00 ;450;202500;81000;0,4;Outlet
Foot Locker;IT0022;04/01/2020;Northeast;New York;New York;Women's Athletic Footwear;WAF41; $36,00 ;281;10116;3742,92;0,37;Outlet
Foot Locker;IT0023;04/01/2020;Northeast;New York;New York;Women's Athletic Footwear;WAF48; $41,00 ;247;10127;4658,42;0,46;Online
Foot Locker;IT0024;04/01/2020;Northeast;New York;New York;Women's Athletic Footwear;WAF53; $45,00 ;850;382500;133875;0,35;In-store
West Gear;IT0025;05/01/2020;Northeast;Pennsylvania;Philadelphia;Women's Athletic Footwear;WAF38; $34,00 ;90;3060;1254,6;0,41;Outlet
West Gear;IT0026;05/01/2020;Northeast;Pennsylvania;Philadelphia;Women's Athletic Footwear;WAF50; $43,00 ;87;3741;1870,5;0,5;Online
West Gear;IT0027;05/01/2020;Northeast;Pennsylvania;Philadelphia;Women's Athletic Footwear;WAF53; $45,00 ;300;135000;47250;0,35;Outlet
Foot Locker;IT0028;05/01/2020;Northeast;New York;New York;Men's Apparel;MA32; $43,00 ;306;13158;4868,46;0,37;Outlet
Foot Locker;IT0029;05/01/2020;Northeast;New York;New York;Men's Apparel;MA50; $55,00 ;234;12870;5148;0,4;Online
Foot Locker;IT0030;05/01/2020;Northeast;New York;New York;Men's Apparel;MA56; $60,00 ;900;540000;162000;0,3;In-store
West Gear;IT0031;06/01/2020;West;Nevada;Las Vegas;Men's Apparel;MA25; $37,00 ;80;2960;1687,2;0,57;Outlet
West Gear;IT0032;06/01/2020;West;Nevada;Las Vegas;Men's Apparel;MA39; $47,00 ;70;3290;2138,5;0,65;Online
West Gear;IT0033;06/01/2020;West;Nevada;Las Vegas;Men's Apparel;MA43; $50,00 ;250;125000;68750;0,55;Outlet
Foot Locker;IT0034;06/01/2020;Northeast;New York;New York;Women's Apparel;WA35; $38,00 ;330;12540;4012,8;0,32;Outlet
Foot Locker;IT0035;06/01/2020;Northeast;New York;New York;Women's Apparel;WA48; $46,00 ;260;11960;4425,2;0,37;Online
Foot Locker;IT0036;06/01/2020;Northeast;New York;New York;Women's Apparel;WA54; $50,00 ;1000;500000;125000;0,25;In-store
West Gear;IT0037;07/01/2020;West;Nevada;Las Vegas;Women's Apparel;WA33; $36,00 ;166;5976;1434,24;0,24;Outlet
West Gear;IT0038;07/01/2020;West;Nevada;Las Vegas;Women's Apparel;WA40; $41,00 ;128;5248;1574,4;0,3;Online
West Gear;IT0039;07/01/2020;West;Nevada;Las Vegas;Women's Apparel;WA46; $45,00 ;475;213750;42750;0,2;Outlet
Foot Locker;IT0040;07/01/2020;Northeast;New York;New York;Men's Street Footwear;MSF32; $33,00 ;388;12804;6658,08;0,52;Outlet
Foot Locker;IT0041;07/01/2020;Northeast;New York;New York;Men's Street Footwear;MSF51; $46,00 ;313;14398;8926,76;0,62;Online
Foot Locker;IT0042;07/01/2020;Northeast;New York;New York;Men's Street Footwear;MSF56; $50,00 ;1250;625000;312500;0,5;In-store
West Gear;IT0043;08/01/2020;West;Nevada;Las Vegas;Men's Street Footwear;MSF23; $27,00 ;173;4671;2008,53;0,43;Outlet
West Gear;IT0044;08/01/2020;West;Nevada;Las Vegas;Men's Street Footwear;MSF33; $34,00 ;158;5372;2686;0,5;Online
West Gear;IT0045;08/01/2020;West;Nevada;Las Vegas;Men's Street Footwear;MSF35; $35,00 ;525;183750;73500;0,4;Outlet
Foot Locker;IT0046;08/01/2020;Northeast;New York;New York;Men's Athletic Footwear;MAF36; $39,00 ;315;12285;4054,05;0,33;Outlet
Foot Locker;IT0047;08/01/2020;Northeast;New York;New York;Men's Athletic Footwear;MAF47; $46,00 ;261;12006;5282,64;0,44;Online
Foot Locker;IT0048;08/01/2020;Northeast;New York;New York;Men's Athletic Footwear;MAF52; $50,00 ;900;450000;135000;0,3;Outlet
West Gear;IT0049;09/01/2020;West;Nevada;Las Vegas;Men's Athletic Footwear;MAF31; $35,00 ;145;5075;1573,25;0,31;Outlet
West Gear;IT0050;09/01/2020;West;Nevada;Las Vegas;Men's Athletic Footwear;MAF42; $43,00 ;128;5504;2201,6;0,4;Online
West Gear;IT0051;09/01/2020;West;Nevada;Las Vegas;Men's Athletic Footwear;MAF44; $45,00 ;425;191250;47812,5;0,25;Outlet
West Gear;IT0052;10/01/2020;West;Nevada;Las Vegas;Women's Street Footwear;WSF41; $31,00 ;140;4340;1866,2;0,43;Outlet
West Gear;IT0053;10/01/2020;West;Nevada;Las Vegas;Women's Street Footwear;WSF55; $41,00 ;119;4879;2585,87;0,53;Online
West Gear;IT0054;10/01/2020;West;Nevada;Las Vegas;Women's Street Footwear;WSF59; $45,00 ;425;191250;76500;0,4;Outlet
West Gear;IT0055;11/01/2020;West;Nevada;Las Vegas;Women's Athletic Footwear;WAF32; $30,00 ;85;2550;1045,5;0,41;Outlet
West Gear;IT0056;11/01/2020;West;Nevada;Las Vegas;Women's Athletic Footwear;WAF51; $44,00 ;74;3256;1497,76;0,46;Online
West Gear;IT0057;11/01/2020;West;Nevada;Las Vegas;Women's Athletic Footwear;WAF53; $45,00 ;275;123750;43312,5;0,35;Outlet
